Seasons,Date,KD,Total Eliminations,Wins,Top 10,Matches Played,Server,Win Ratio,Total Damage,Total Assists,Headshots,Longest Travel,Highest Damage in a match,Average Damage,Accuracy,Most Elimination,Top 10 rate,Headshot rate,Average assists,Played on,Most Played Map
S3,8/22/2018,2.5,5,0,2,2,Europe,0.0%,919.4,0,0,1.0,727,459.7,30.8%,4,100.0%,0.0%,0.0,iphone5s,Miramar
S4,11/20/2018,0.8,198,25,170,260,Europe,9.6%,34996.8,57,27,11.5,1064,134.6,18.6%,8,65.4%,13.6%,0.2,iphone 6,Erangle
S5,1/20/2019,1.0,232,31,210,231,Europe,11.2%,65994.3,101,37,11.8,1102,355,21.3%,7,67.3%,11.2%,0.7,iphone 6,Erangle
S6,3/21/2019,1.2,87,7,53,74,Europe,9.5%,15037.9,17,11,13.5,925,203.2,17.6%,5,71.6%,12.6%,0.2,iphone 6,Erangle
S7,5/17/2019,1.1,166,6,105,158,Europe,3.8%,28302.8,20,23,14.6,675,179.1,17.0%,5,66.5%,13.9%,0.1,iphone 6,Erangle
S8,7/22/2019,0.7,63,4,71,96,Europe,4.2%,11890.2,18,13,14.3,598,123.9,12.6%,5,74.0%,20.6%,0.2,iphone 6,Erangle
S9,9/13/2019,0.9,131,8,109,149,Europe,5.4%,21000.3,20,32,15.1,676,140.9,11.2%,5,73.2%,24.4%,0.1,iphone 6,Erangle
S10,11/10/2019,0.8,147,16,168,195,Europe,8.2%,24870.5,25,24,15.7,734,127.5,12.2%,4,86.2%,16.3%,0.1,iphone 6,Erangle
S11,1/10/2020,0.9,115,8,107,131,Europe,6.1%,20471.5,22,46,17.5,654,156.8,11.8%,5,81.7%,40.0%,0.2,iphone 6,Erangle
S12,3/9/2020,1.1,67,7,55,64,Europe,10.9%,11917.3,18,17,16.5,1063,196.2,15.0%,5,85.9%,25.4%,0.2,iphone 6,Sanhok
S13,5/13/2020,2.5,15,1,6,6,Europe,16.7%,1962.8,2,2,11.2,545,327.1,14.9%,5,100.0%,13.3%,0.2,iphone7plus,Erangle
S14,7/14/2020,2.2,99,8,43,46,Europe,17.4%,17117.9,15,40,13.7,1082,372.1,15.1%,9,93.5%,40.4%,0.2,iphone7plus,Erangle
S15,9/14/2020,1.7,182,23,98,107,Europe,21.5%,28892.9,40,51,8.9,1124,270,15.5%,6,91.6%,28.0%,0.4,iphone7plus,Erangle
S16,11/17/2020,1.6,320,64,268,320,MiddleEast,20.0%,90022.4,106,145,10.6,1294,281.3,17.1%,8,83.8%,27.9%,0.2,iphone7plus,Erangle
S17,1/19/2021,1.7,410,46,208,245,MiddleEast,18.8%,70574.1,67,105,7.9,1236,288.1,17.1%,7,84.9%,25.6%,0.3,iphone7plus,Erangle
S18,3/17/2021,1.4,481,62,280,340,MiddleEast,18.2%,84462,148,128,8.1,1183,248.4,16.9%,8,82.4%,26.6%,0.4,iphone7plus,Erangle
S19,5/17/2021,1.7,548,66,241,331,Europe,19.9%,88977.3,120,131,6.6,1372,268.2,18.1%,9,72.8%,23.9%,0.4,iphone7plus,Erangle
C1S1,7/14/2021,1.3,877,108,503,678,Europe,15.9%,146631.4,243,190,16.8,1176,216.3,15.9%,8,74.2%,21.7%,0.4,iphone7plus,Livik
C1S2,8/13/2021,1.6,387,45,175,193,MiddleEast,23.3%,53421.1,93,64,8.6,1049,276.2,15.5%,11,90.7%,16.5%,0.5,iphone7plus,Livik
C1S3,11/19/2021,2.0,564,76,283,349,MiddleEast,21.8%,95301.1,136,121,8.4,1041,273.1,15.0%,7,81.5%,21.5%,0.4,iphone7plus,Livik
C2S4,1/18/2022,2.2,319,39,131,147,MiddleEast,26.5%,55841.5,74,73,15.2,1539,379,16.3%,7,89.1%,22.9%,0.5,iphone7plus,Livik
C2S5,3/18/2022,2.2,159,22,66,73,MiddleEast,30.1%,28567.3,46,37,11.5,1001,391.3,17.0%,6,90.4%,23.3%,0.6,iphone7plus,Livik
C2S6,5/19/2022,2.3,461,50,161,199,MiddleEast,25.1%,81534.3,141,90,10.1,1492,409.7,17.2%,9,80.9%,19.5%,0.7,iphone7plus,Livik
C3S7,7/19/2022,2.5,384,33,134,153,MiddleEast,21.6%,67412.2,94,69,4.8,1605,440.6,16.6%,11,87.6%,18.0%,0.6,iphone7plus,Livik
C3S8,9/20/2022,2.5,451,40,149,180,MiddleEast,22.2%,73471.3,94,76,8.1,1428,408.2,17.5%,10,82.6%,16.9%,0.5,iphone7plus,Livik
C3S9,11/15/2022,2.1,516,45,200,241,MiddleEast,18.7%,94239.7,104,89,10.4,1302,391,18.4%,8,83.0%,17.2%,0.4,iphone7plus,Livik
C4S10,1/17/2023,2.2,928,68,340,415,MiddleEast,16.4%,171586.4,217,150,10.5,1529,413.5,19.5%,11,81.9%,16.2%,0.5,iphone7plus,Erangle
C4S11,3/21/2023,2.3,356,37,121,153,MiddleEast,24.2%,64033.4,76,61,12.4,1383,418.5,18.8%,9,79.1%,17.1%,0.5,iphone7plus,Erangle
C4S12,5/21/2023,3.6,215,11,47,60,MiddleEast,18.3%,37261.1,58,36,16.9,2565,621.1,16.2%,15,78.3%,16.7%,1.0,iphone7plus,Erangle
C5S13,7/11/2023,4.2,131,10,25,31,MiddleEast,32.3%,20494.4,34,23,13.7,2319,661.1,18.1%,17,80.6%,17.6%,1.1,iphone7plus,Livik
C5S14,9/14/2023,3.6,382,27,94,106,MiddleEast,25.5%,60222.8,88,56,14.8,2019,568.1,15.9%,17,88.7%,14.7%,0.8,iphone7plus,Livik
C5S15,11/13/2023,5.6,329,24,50,59,MiddleEast,40.7%,52813.9,46,47,21.7,2597,895.2,19.0%,18,84.7%,14.3%,0.8,iphone7plus,Livik
C6S16,1/8/2024,5.3,264,15,42,50,MiddleEast,30.0%,44709.3,41,30,17.5,2755,894.2,17.3%,19,84.0%,11.4%,0.8,iphone7plus,Nusa
C6S17,3/17/2024,5.1,597,36,97,118,MiddleEast,30.5%,95958.8,149,81,20.1,3670,813.7,17.2%,26,82.2%,13.6%,1.2,iphone7plus,Nusa
C6S18,5/17/2024,4.1,430,28,78,104,MiddleEast,26.9%,68585.2,115,44,18.5,3225,659.5,18.7%,24,75.0%,10.2%,1.1,iphone7plus,Erangle
C7S19,7/18/2024,6.9,533,22,64,77,MiddleEast,28.6%,89243.9,155,62,18.1,2766,1159,21.0%,17,83.2%,11.6%,2.0,iphone7plus,Erangle
C7S20,9/14/2024,7.2,410,23,46,57,MiddleEast,40.4%,66866.7,125,41,22.1,2734,1173.1,19.3%,14,80.7%,10.0%,2.2,iphone7plus,Erangle
C7S21,11/15/2024,7.1,650,34,74,92,MiddleEast,37.0%,106694.9,206,70,24.2,2898,1159.6,20.1%,18,80.4%,10.8%,2.2,iphone7plus,Erangle
C8S22,1/16/2025,6.0,155,6,19,26,MiddleEast,23.1%,26457.3,41,13,18.6,3659,1017.6,18.0%,24,73.1%,8.4%,1.6,iphone7plus,Erangle
C8S23,3/13/2025,5.6,664,39,86,118,MiddleEast,33.1%,107332.4,193,74,18.0,2793,909.6,17.9%,21,72.9%,11.2%,1.6,iphone7plus,Erangle
C8S24,5/12/2025,5.7,475,27,64,83,MiddleEast,32.5%,74523.8,125,60,15.5,3608,897.9,17.5%,23,77.1%,12.6%,1.5,iphone7plus,Erangle
